ORIGIN_AIRPORT_ID,Description,Sum(PASSENGERS)
12051,"Guayaquil, Ecuador: Jose Joaquin de Olmedo International",22382
14814,"Shreveport, LA: Shreveport Regional",21824
13269,"Managua, Nicaragua: Augusto Cesar Sandino International",21485
16477,"Queretaro, Mexico: Queretaro International",21415
10627,"Bismarck/Mandan, ND: Bismarck Municipal",21306
10990,"Charlottesville, VA: Charlottesville Albemarle",21254
12991,"Lisbon, Portugal: Lisboa",21201
14012,"Port-au-Prince, Haiti: Port Au Prince International",20891
13360,"Melbourne, FL: Melbourne Orlando International",20793
13422,"Mobile, AL: Mobile Regional",20763
13560,"Milan, Italy: Malpensa",20589
10208,"Augusta, GA: Augusta Regional at Bush Field",20498
11953,"Gainesville, FL: Gainesville Regional",20489
12280,"Idaho Falls, ID: Idaho Falls Regional",20396
15923,"Comayagua, Honduras: Palmerola International",20147
10666,"Bellingham, WA: Bellingham International",19636
15380,"Traverse City, MI: Cherry Capital",19434
15023,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",19267
12523,"Juneau, AK: Juneau International",19212
11290,"Delhi, India: Indira Gandhi International",18696
10581,"Bangor, ME: Bangor International",17988
11921,"Grand Junction, CO: Grand Junction Regional",17776
10312,"St. Johns, Antigua and Barbuda: V C Bird International",17742
10638,"Leon/Guanajuato, Mexico: Leon International",17690
14210,"Port of Spain, Trinidad and Tobago: Piarco",17599
12951,"Lafayette, LA: Lafayette Regional Paul Fournet Field",17522
13476,"Monterey, CA: Monterey Regional",17490
16321,"Zurich, Switzerland: Zurich Airport",17266
15306,"Taipei, Taiwan: Taiwan Taoyuan International",17146
11413,"Durango, CO: Durango La Plata County",17048
11185,"Willemstad, Curacao: Hato",16267
11052,"Cali, Colombia: Alfonso Bonilla Aragon International",15566
12699,"Osaka, Japan: Kansai International",15483
10747,"Brownsville, TX: Brownsville South Padre Island International",15333
15323,"Bristol/Johnson City/Kingsport, TN: Tri Cities",15107
13408,"Manila, Philippines: Ninoy Aquino International",14904
11888,"Georgetown, Guyana: Cheddi Jagan International",14559
15041,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",14482
10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",13439
11641,"Fayetteville, NC: Fayetteville Regional/Grannis Field",13265
11146,"Charleston/Dunbar, WV: West Virginia International Yeager",13254
16304,"Ixtapa/Zihuatanejo, Mexico: Ixtapa-Zihuatanejo International",13235
12003,"Great Falls, MT: Great Falls International",13163
13277,"Montgomery, AL: Montgomery Regional",13039
10561,"Bakersfield, CA: Meadows Field",13019
14254,"Ponce, PR: Mercedita",12743
14824,"Singapore, Singapore: Singapore Changi International",12541
13433,"Minot, ND: Minot International",12441
10150,"Accra, Ghana: Kotoka International",12428
